Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
5F-AB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-AEB,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-AKB48 ,0,0,0,0,0,0,0,0,0,0,0,0,0
5F-EDMB-PICA,0,0,0,2,0,0,0,0,0,0,0,0,0
AB-CHMINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-FUBINACA,0,0,1,0,0,0,0,0,0,0,7,0,0
AB-PINACA,0,0,1,0,0,0,0,0,0,3,0,0,0
adamantyl-CHMINACA,0,0,0,1,0,0,0,0,0,0,0,0,0
ADB-4en-PFUPPYCA,0,0,0,0,0,0,0,0,0,3,0,0,0
ADB-4en-PINACA,0,0,0,0,0,0,0,0,0,1,0,0,2
ADB-5'Br-4en-PINACA,0,0,0,0,0,2,0,0,0,0,0,0,0
ADB-5Br-INACA,0,0,0,0,0,0,0,0,0,4,0,0,0
ADB-BINACA,4,0,0,0,0,0,0,0,0,0,0,0,0
ADB-Br-BUTINACA,0,0,0,1,0,0,0,0,0,3,0,0,0
ADB-5Br-BUTINACA,0,0,0,1,0,0,0,0,0,0,0,0,0
ADB-Br-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,3,0,0,0
ADB-BUTINACA,23,0,1,17,2,20,0,0,0,105,10,0,2
ADB-FUBIATA,0,0,0,4,0,4,0,0,0,42,1,0,0
ADB-FUBINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-HEXINACA,0,0,0,0,0,0,0,0,0,13,0,0,0
ADB-PHETINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
AFUBIATA,0,0,0,0,0,0,0,0,0,2,0,0,0
AKB48,0,0,0,0,0,0,0,0,0,0,0,0,0
AM2201,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-4en-POXIZID,0,0,0,0,0,0,0,0,0,3,0,0,0
BZO-CHMOXIZID,0,0,0,0,0,0,0,0,0,0,0,0,0
BZO-HEXOXIZID,0,0,0,1,0,0,0,0,0,23,0,0,0
BZO-POXIZID,0,0,0,0,0,0,0,0,0,9,0,0,0
CH-PIATA,0,0,0,6,0,3,0,0,0,30,0,0,0
Cyano-CUMYL-BUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
4CN-CUMYL-BUTINACA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyano-CUMYL-BUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,0,0,0,0
EDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,1,0,0,0
EDMB-PINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,0
EMB-FUBINACA,0,0,0,1,0,0,0,0,0,0,0,0,0
FDU-PB-22,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fluoro-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,7,0,0,0
"5F-3,5-AB-PFUPPYCA",0,0,0,0,0,0,0,0,0,5,0,0,0
"Fluoro-3,5-AB-PFUPPYCA (unspecified isomer)",0,0,0,0,0,0,0,0,0,2,0,0,0
Fluoro-ABUTINACA,0,0,0,0,0,0,0,0,0,1,0,0,0
4F-ABUTINACA  ,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoro-ABUTINACA (unspecified isomer),0,0,0,0,0,0,0,0,0,1,0,0,0
Fluoro-ADB,0,0,0,0,0,0,1,0,0,1,0,0,0
5F-ADB ,0,0,0,0,0,0,1,0,0,1,0,0,0
Fluoro-BZO-POXIZID,0,0,0,0,0,0,0,0,0,5,0,0,0
