jurisdiction,sex,age,month,year,time_frame,dataset,population,count_alldrug,count_opioid,count_fentanyl,count_heroin,count_stimulant,count_cocaine,count_methamphetamine,count_benzodiazepine,rate_alldrug,rate_opioid,rate_fentanyl,rate_heroin,rate_stimulant,rate_cocaine,rate_methamphetamine,rate_benzodiazepine
US,F,0-14,1,2022,monthly,ED,21050470,1596,38,suppressed,suppressed,71,suppressed,,37,7.6,0.2,suppressed,suppressed,0.3,suppressed,,0.2
US,F,0-14,2,2022,monthly,ED,21050470,1558,43,suppressed,0,60,suppressed,,26,7.4,0.2,suppressed,0,0.3,suppressed,,0.1
US,F,0-14,3,2022,monthly,ED,21050470,1898,57,suppressed,suppressed,67,suppressed,,34,9.0,0.3,suppressed,suppressed,0.3,suppressed,,0.2
US,F,0-14,4,2022,monthly,ED,21050470,1778,33,suppressed,0,48,suppressed,,44,8.4,0.2,suppressed,0,0.2,suppressed,,0.2
US,F,0-14,5,2022,monthly,ED,21050470,1914,67,suppressed,suppressed,70,suppressed,,37,9.1,0.3,suppressed,suppressed,0.3,suppressed,,0.2
US,F,0-14,6,2022,monthly,ED,21050470,1708,41,suppressed,suppressed,52,suppressed,,26,8.1,0.2,suppressed,suppressed,0.2,suppressed,,0.1
US,F,0-14,7,2022,monthly,ED,21050470,1636,36,suppressed,0,53,0,,34,7.8,0.2,suppressed,0,0.3,0,,0.2
US,F,0-14,8,2022,monthly,ED,21050470,1742,51,suppressed,suppressed,71,suppressed,,25,8.3,0.2,suppressed,suppressed,0.3,suppressed,,0.1
US,F,0-14,9,2022,monthly,ED,21050470,1842,65,suppressed,suppressed,67,suppressed,,28,8.8,0.3,suppressed,suppressed,0.3,suppressed,,0.1
US,F,0-14,10,2022,monthly,ED,21050470,1891,51,suppressed,0,66,suppressed,suppressed,30,9.0,0.2,suppressed,0,0.3,suppressed,suppressed,0.1
US,F,0-14,11,2022,monthly,ED,21050470,1744,49,suppressed,0,60,suppressed,suppressed,31,8.3,0.2,suppressed,0,0.3,suppressed,suppressed,0.1
US,F,0-14,12,2022,monthly,ED,21050470,1666,49,suppressed,suppressed,64,suppressed,suppressed,28,7.9,0.2,suppressed,suppressed,0.3,suppressed,suppressed,0.1
US,F,0-14,all,2022,annual,ED,21050470,20973,580,71,11,749,36,,380,99.6,2.8,0.3,suppressed,3.6,0.2,,1.8
US,F,15-24,1,2022,monthly,ED,15182415,1661,484,82,95,87,19,,74,10.9,3.2,0.5,0.6,0.6,suppressed,,0.5
US,F,15-24,2,2022,monthly,ED,15182415,1727,443,99,77,94,29,,104,11.4,2.9,0.7,0.5,0.6,0.2,,0.7
US,F,15-24,3,2022,monthly,ED,15182415,1922,519,104,99,103,23,,107,12.7,3.4,0.7,0.7,0.7,0.2,,0.7
US,F,15-24,4,2022,monthly,ED,15182415,1802,453,103,89,103,16,,75,11.9,3,0.7,0.6,0.7,suppressed,,0.5
US,F,15-24,5,2022,monthly,ED,15182415,1840,461,113,70,115,32,,106,12.1,3,0.7,0.5,0.8,0.2,,0.7
US,F,15-24,6,2022,monthly,ED,15182415,1618,468,96,83,93,23,,62,10.7,3.1,0.6,0.5,0.6,0.2,,0.4
US,F,15-24,7,2022,monthly,ED,15182415,1658,519,128,87,88,19,,79,10.9,3.4,0.8,0.6,0.6,suppressed,,0.5
US,F,15-24,8,2022,monthly,ED,15182415,1726,475,104,70,105,26,,67,11.4,3.1,0.7,0.5,0.7,0.2,,0.4
